i,time,y0,y1,y2,y3,y4,du1,du2,du3,du4,U1,du
161,4618903,-0.02132239,-0.02093964,-0.01967593,-0.01889026,-0.01800351,-0.18359324,-0.13588010,-0.15129375,-0.13373170,-0.43949624,-0.10468460
162,4628903,-0.02241951,-0.02132239,-0.02093964,-0.01967593,-0.01889026,-0.10468460,-0.18359324,-0.13588010,-0.15129375,-0.54418084,-0.19863099
163,4638903,-0.02785663,-0.02241951,-0.02132239,-0.02093964,-0.01967593,-0.19863099,-0.10468460,-0.18359324,-0.13588010,-0.74281183,-0.48964888
164,4648903,-0.02740891,-0.02785663,-0.02241951,-0.02132239,-0.02093964,-0.48964888,-0.19863099,-0.10468460,-0.18359324,-1.23246071,0.11210961
165,4658904,-0.02408087,-0.02740891,-0.02785663,-0.02241951,-0.02132239,0.11210961,-0.48964888,-0.19863099,-0.10468460,-1.12035110,0.02935958
166,4668903,-0.02126055,-0.02408087,-0.02740891,-0.02785663,-0.02241951,0.02935958,0.11210961,-0.48964888,-0.19863099,-1.09099153,-0.12209711
167,4678904,-0.01773504,-0.02126055,-0.02408087,-0.02740891,-0.02785663,-0.12209711,0.02935958,0.11210961,-0.48964888,-1.21308864,0.03806380
168,4688905,-0.01445306,-0.01773504,-0.02126055,-0.02408087,-0.02740891,0.03806380,-0.12209711,0.02935958,0.11210961,-1.17502484,-0.03764171
169,4698907,-0.01222831,-0.01445306,-0.01773504,-0.02126055,-0.02408087,-0.03764171,0.03806380,-0.12209711,0.02935958,-1.21266655,-0.08747186
170,4708909,-0.00986549,-0.01222831,-0.01445306,-0.01773504,-0.02126055,-0.08747186,-0.03764171,0.03806380,-0.12209711,-1.30013841,0.00529696
171,4718909,-0.00719945,-0.00986549,-0.01222831,-0.01445306,-0.01773504,0.00529696,-0.08747186,-0.03764171,0.03806380,-1.29484145,0.01736141
172,4728909,-0.00507899,-0.00719945,-0.00986549,-0.01222831,-0.01445306,0.01736141,0.00529696,-0.08747186,-0.03764171,-1.27748004,-0.01761377
173,4738911,-0.00420449,-0.00507899,-0.00719945,-0.00986549,-0.01222831,-0.01761377,0.01736141,0.00529696,-0.08747186,-1.29509381,-0.05852192
174,4748912,-0.00446674,-0.00420449,-0.00507899,-0.00719945,-0.00986549,-0.05852192,-0.01761377,0.01736141,0.00529696,-1.35361573,-0.08356513
175,4758906,-0.00258294,-0.00446674,-0.00420449,-0.00507899,-0.00719945,-0.08356513,-0.05852192,-0.01761377,0.01736141,-1.43718086,0.11778155
176,4768904,-0.00023983,-0.00258294,-0.00446674,-0.00420449,-0.00507899,0.11778155,-0.08356513,-0.05852192,-0.01761377,-1.31939931,0.06060005
