i,time,raw_accel,raw_gyro,kalman_accel
496,5996404,-0.14920285,177.89160156,-0.07176040
497,5998392,-0.27534621,183.93408203,-0.06703191
498,6000389,-0.20106904,189.18310547,-0.06157664
499,6002402,-0.10336870,193.15039062,-0.05519786
500,6004391,0.04453390,196.26318359,-0.04768746
501,6006380,0.06327079,198.27734375,-0.04002569
502,6008369,-0.08057817,198.39941406,-0.03350238
503,6010377,0.16071592,196.93457031,-0.02518869
504,6012406,0.65360422,195.53076172,-0.01311086
505,6014399,0.61690915,193.63867188,-0.00156261
506,6016392,0.39917695,186.19238281,0.00799605
507,6018380,0.14703915,181.85888672,0.01536592
508,6020381,0.58096699,175.69433594,0.02581786
509,6022397,0.61760872,168.73632812,0.03629954
510,6024389,0.59810113,161.47314453,0.04624383
511,6026382,0.43417950,153.72167969,0.05458599
512,6028375,0.69287680,142.24707031,0.06447974
513,6030376,0.75361943,131.38281250,0.07439114
514,6032392,0.50198737,122.10546875,0.08200886
515,6034385,0.51858757,109.95947266,0.08925895
516,6036377,0.72975158,101.90283203,0.09774482
517,6038373,0.89492384,89.32958984,0.10703799
518,6040398,0.93189233,73.52148438,0.11604756
519,6042428,0.84634642,54.47851562,0.12373091
520,6044422,0.77346020,35.06933594,0.13008949
521,6046416,0.68263827,18.58984375,0.13510336
522,6048409,0.65174721,4.91796875,0.13934554
523,6050410,0.60169454,-5.94628906,0.14277207
524,6052429,0.61371953,-15.77294922,0.14591150
525,6054422,0.61835603,-25.53857422,0.14872792
526,6056421,0.89703740,-44.21533203,0.15308765
527,6058415,0.93288473,-59.53515625,0.15712916
528,6060461,0.74543302,-77.29638672,0.15908013
529,6062529,0.57539302,-94.14208984,0.15904876
530,6064522,0.41489285,-105.55566406,0.15741825
531,6066517,0.54427185,-117.15234375,0.15643430
532,6068511,0.09710541,-121.72998047,0.15181456
533,6070511,-0.26461958,-124.23242188,0.14435363
534,6072523,-0.38501085,-123.19482422,0.13599901
535,6074513,-0.13730115,-119.22753906,0.12975550
536,6076505,0.12852404,-116.60302734,0.12570213
537,6078501,-0.04253161,-112.94091797,0.12048247
538,6080513,-0.36944516,-111.65917969,0.11284769
539,6082537,-0.40651036,-108.18017578,0.10504301
540,6084526,-0.30088111,-104.33496094,0.09829668
