i,time,y0,y1,y2,y3,y4,du1,du2,du3,du4,U1,du
128,4288840,0.98254872,1.00259908,1.02116707,1.03903050,1.05680620,0.00000000,0.01963600,0.00000000,0.00000000,10.76789405,1.28234517
129,4298844,0.96114839,0.98254872,1.00259908,1.02116707,1.03903050,0.00000000,0.00000000,0.01963600,0.00000000,10.76789405,1.26650539
130,4308842,0.93768318,0.96114839,0.98254872,1.00259908,1.02116707,0.00000000,0.00000000,0.00000000,0.01963600,10.76789405,1.24641611
131,4318840,0.91218583,0.93768318,0.96114839,0.98254872,1.00259908,0.00000000,0.00000000,0.00000000,0.00000000,10.76789405,1.22673479
132,4328841,0.88889262,0.91218583,0.93768318,0.96114839,0.98254872,0.00000000,0.00000000,0.00000000,0.00000000,10.76789405,1.22267264
133,4338840,0.86800775,0.88889262,0.91218583,0.93768318,0.96114839,0.00000000,0.00000000,0.00000000,0.00000000,10.76789405,1.21234019
134,4348840,0.84509755,0.86800775,0.88889262,0.91218583,0.93768318,0.00000000,0.00000000,0.00000000,0.00000000,10.76789405,1.18530480
135,4358840,0.81906488,0.84509755,0.86800775,0.88889262,0.91218583,0.00000000,0.00000000,0.00000000,0.00000000,10.76789405,1.16145132
136,4368840,0.79382951,0.81906488,0.84509755,0.86800775,0.88889262,0.00000000,0.00000000,0.00000000,0.00000000,10.76789405,1.15355222
137,4378840,0.77277886,0.79382951,0.81906488,0.84509755,0.86800775,0.00746390,0.00000000,0.00000000,0.00000000,10.77535795,1.15239405
138,4388840,0.75292068,0.77277886,0.79382951,0.81906488,0.84509755,0.00000000,0.00746390,0.00000000,0.00000000,10.77535795,1.13466210
139,4398840,0.73111278,0.75292068,0.77277886,0.79382951,0.81906488,0.00000000,0.00000000,0.00746390,0.00000000,10.77535795,1.11110297
140,4408842,0.71177485,0.73111278,0.75292068,0.77277886,0.79382951,0.00000000,0.00000000,0.00000000,0.00746390,10.77535795,1.11037522
141,4418842,0.69499069,0.71177485,0.73111278,0.75292068,0.77277886,0.00000000,0.00000000,0.00000000,0.00000000,10.77535795,1.10276791
142,4428840,0.67833692,0.69499069,0.71177485,0.73111278,0.75292068,0.00000000,0.00000000,0.00000000,0.00000000,10.77535795,1.08689595
143,4438840,0.66232910,0.67833692,0.69499069,0.71177485,0.73111278,0.00000000,0.00000000,0.00000000,0.00000000,10.77535795,1.07809834
144,4448846,0.64897823,0.66232910,0.67833692,0.69499069,0.71177485,0.00000000,0.00000000,0.00000000,0.00000000,10.77535795,1.07680860
145,4458845,0.63707714,0.64897823,0.66232910,0.67833692,0.69499069,0.00000000,0.00000000,0.00000000,0.00000000,10.77535795,1.06835273
146,4468840,0.62212994,0.63707714,0.64897823,0.66232910,0.67833692,0.00000000,0.00000000,0.00000000,0.00000000,10.77535795,1.04514936
147,4478840,0.60670401,0.62212994,0.63707714,0.64897823,0.66232910,-0.03030369,0.00000000,0.00000000,0.00000000,10.74505425,1.03753177
148,4488840,0.59270853,0.60670401,0.62212994,0.63707714,0.64897823,0.00000000,-0.03030369,0.00000000,0.00000000,10.74505425,1.03389871
149,4498840,0.57650146,0.59270853,0.60670401,0.62212994,0.63707714,0.00000000,0.00000000,-0.03030369,0.00000000,10.74505425,1.01262570
150,4508840,0.55968558,0.57650146,0.59270853,0.60670401,0.62212994,0.00000000,0.00000000,0.00000000,-0.03030369,10.74505425,1.00401064
151,4518840,0.54036012,0.55968558,0.57650146,0.59270853,0.60670401,0.00000000,0.00000000,0.00000000,0.00000000,10.74505425,0.98372679
152,4528840,0.52016128,0.54036012,0.55968558,0.57650146,0.59270853,0.00000000,0.00000000,0.00000000,0.00000000,10.74505425,0.97233244
153,4538843,0.49907974,0.52016128,0.54036012,0.55968558,0.57650146,0.00000000,0.00000000,0.00000000,0.00000000,10.74505425,0.95699895
154,4548840,0.47734209,0.49907974,0.52016128,0.54036012,0.55968558,0.00000000,0.00000000,0.00000000,0.00000000,10.74505425,0.94201399
155,4558845,0.45572148,0.47734209,0.49907974,0.52016128,0.54036012,0.00000000,0.00000000,0.00000000,0.00000000,10.74505425,0.92925533
156,4568840,0.43404352,0.45572148,0.47734209,0.49907974,0.52016128,0.00000000,0.00000000,0.00000000,0.00000000,10.74505425,0.91430676
157,4578840,0.40921465,0.43404352,0.45572148,0.47734209,0.49907974,0.01558581,0.00000000,0.00000000,0.00000000,10.76064007,0.88812171
158,4588840,0.38486910,0.40921465,0.43404352,0.45572148,0.47734209,0.00000000,0.01558581,0.00000000,0.00000000,10.76064007,0.87984550
